Durchlauf 1:

timestamp,elapsed_s,cpu_percent,ram_mb,ram_percent
23:56:08,0.02,0.0,0.02,0.0
23:56:08,0.53,11.6,0.02,0.0
23:56:09,1.05,9.6,0.02,0.0
23:56:10,1.57,7.7,0.02,0.0
23:56:10,2.09,9.6,0.02,0.0
23:56:11,2.61,11.5,0.02,0.0
23:56:11,3.13,9.6,0.02,0.0
23:56:12,3.65,9.7,0.02,0.0
23:56:12,4.17,9.6,0.02,0.0
23:56:13,4.69,9.6,0.02,0.0
23:56:13,5.21,11.5,0.02,0.0
23:56:14,5.73,7.7,0.02,0.0
23:56:14,6.25,9.6,0.02,0.0
23:56:15,6.77,9.6,0.02,0.0
23:56:15,7.29,11.6,0.02,0.0
23:56:16,7.81,9.6,0.02,0.0
23:56:16,8.32,11.6,0.02,0.0
23:56:17,8.84,9.6,0.02,0.0
23:56:17,9.36,11.5,0.02,0.0
23:56:18,9.88,9.6,0.02,0.0
23:56:18,10.4,9.7,0.02,0.0
23:56:19,10.92,11.6,0.02,0.0
23:56:19,11.44,9.7,0.02,0.0
23:56:20,11.96,11.5,0.02,0.0
23:56:20,12.48,9.6,0.02,0.0
23:56:21,13.0,11.5,0.02,0.0
23:56:21,13.52,9.7,0.02,0.0
23:56:22,14.04,9.6,0.02,0.0
23:56:22,14.56,9.7,0.02,0.0
23:56:23,15.08,11.6,0.02,0.0
23:56:24,15.59,11.6,0.02,0.0
23:56:24,16.11,11.6,0.02,0.0
23:56:25,16.63,9.7,0.02,0.0
23:56:25,17.14,9.8,0.02,0.0
23:56:26,17.66,11.6,0.02,0.0
23:56:26,18.17,7.7,0.02,0.0
23:56:27,18.69,9.7,0.02,0.0
23:56:27,19.21,9.7,0.02,0.0
23:56:28,19.73,13.5,0.02,0.0
23:56:28,20.25,11.6,0.02,0.0
23:56:29,20.76,11.6,0.02,0.0
23:56:29,21.28,13.5,0.02,0.0
23:56:30,21.8,11.5,0.02,0.0
23:56:30,22.32,13.5,0.02,0.0
23:56:31,22.84,13.5,0.02,0.0
23:56:31,23.36,13.5,0.02,0.0
23:56:32,23.88,11.6,0.02,0.0
23:56:32,24.4,11.5,0.02,0.0
23:56:33,24.92,13.5,0.02,0.0
23:56:33,25.42,9.8,0.02,0.0
23:56:34,25.94,11.6,0.02,0.0
23:56:34,26.46,13.4,0.02,0.0
23:56:35,26.99,11.5,0.02,0.0
23:56:35,27.51,11.5,0.02,0.0
23:56:36,28.03,9.6,0.02,0.0
23:56:36,28.54,13.5,0.02,0.0
23:56:37,29.06,11.6,0.02,0.0
23:56:38,29.58,11.6,0.02,0.0
23:56:38,30.1,11.6,0.02,0.0
23:56:39,30.62,13.4,0.02,0.0
23:56:39,31.14,9.6,0.02,0.0
23:56:40,31.66,11.6,0.02,0.0
23:56:40,32.18,13.4,0.02,0.0
23:56:41,32.7,11.6,0.02,0.0
23:56:41,33.22,13.4,0.02,0.0
23:56:42,33.75,11.3,0.02,0.0
23:56:42,34.26,13.5,0.02,0.0
23:56:43,34.78,11.5,0.02,0.0
23:56:43,35.3,11.6,0.02,0.0
23:56:44,35.82,13.5,0.02,0.0
23:56:44,36.34,11.6,0.02,0.0
23:56:45,36.86,13.5,0.02,0.0
23:56:45,37.38,13.5,0.02,0.0
23:56:46,37.89,11.6,0.02,0.0
23:56:46,38.41,13.5,0.02,0.0
23:56:47,38.93,13.5,0.02,0.0
23:56:47,39.45,11.6,0.02,0.0
23:56:48,39.96,11.6,0.02,0.0
23:56:48,40.49,15.4,0.02,0.0
23:56:49,41.0,11.6,0.02,0.0
23:56:49,41.52,13.4,0.02,0.0
23:56:50,42.04,11.6,0.02,0.0
23:56:50,42.56,15.4,0.02,0.0
23:56:51,43.08,11.6,0.02,0.0
23:56:52,43.6,13.5,0.02,0.0
23:56:52,44.12,13.5,0.02,0.0
23:56:53,44.64,15.4,0.02,0.0
23:56:53,45.16,11.6,0.02,0.0
23:56:54,45.67,13.5,0.02,0.0
23:56:54,46.19,13.4,0.02,0.0
23:56:55,46.71,13.5,0.02,0.0
23:56:55,47.23,11.6,0.02,0.0
23:56:56,47.75,13.4,0.02,0.0
23:56:56,48.27,15.4,0.02,0.0
23:56:57,48.79,13.4,0.02,0.0
23:56:57,49.31,13.5,0.02,0.0
23:56:58,49.83,13.5,0.02,0.0
23:56:58,50.35,13.4,0.02,0.0
23:56:59,50.87,13.5,0.02,0.0
23:56:59,51.39,13.5,0.02,0.0
23:57:00,51.91,15.4,0.02,0.0
23:57:00,52.43,15.4,0.02,0.0
23:57:01,52.95,13.5,0.02,0.0
23:57:01,53.47,17.4,0.02,0.0
23:57:02,53.98,13.5,0.02,0.0
23:57:02,54.5,17.3,0.02,0.0
23:57:03,55.02,13.5,0.02,0.0
23:57:03,55.54,15.5,0.02,0.0
23:57:04,56.06,15.4,0.02,0.0
23:57:05,56.58,13.5,0.02,0.0
23:57:05,57.09,17.4,0.02,0.0
23:57:06,57.61,15.4,0.02,0.0
23:57:06,58.13,13.5,0.02,0.0
23:57:07,58.65,17.3,0.02,0.0
23:57:07,59.17,13.4,0.02,0.0
23:57:08,59.7,18.8,0.02,0.0

Ergebnis:
  Messungen       : 116
  CPU-Auslastung  (inkl. Kind-Prozesse)
    Durchschnitt  : 12.12 %
    Maximum       : 18.80 %
    Minimum       : 0.00 %
  RAM-Verbrauch   (inkl. Kind-Prozesse)
    Durchschnitt  : 0.0 MB
    Maximum       : 0.0 MB
    Minimum       : 0.0 MB

Durchlauf 3:

timestamp,elapsed_s,cpu_percent,ram_mb,ram_percent
23:57:14,0.01,0.0,0.02,0.0
23:57:14,0.53,7.7,0.02,0.0
23:57:15,1.05,11.5,0.02,0.0
23:57:15,1.57,9.6,0.02,0.0
23:57:16,2.09,7.7,0.02,0.0
23:57:16,2.61,11.5,0.02,0.0
23:57:17,3.13,9.7,0.02,0.0
23:57:17,3.65,9.6,0.02,0.0
23:57:18,4.17,9.6,0.02,0.0
23:57:18,4.69,9.7,0.02,0.0
23:57:19,5.21,11.5,0.02,0.0
23:57:19,5.73,9.7,0.02,0.0
23:57:20,6.25,11.5,0.02,0.0
23:57:20,6.77,9.6,0.02,0.0
23:57:21,7.29,11.6,0.02,0.0
23:57:21,7.81,9.6,0.02,0.0
23:57:22,8.33,9.6,0.02,0.0
23:57:22,8.85,9.7,0.02,0.0
23:57:23,9.37,9.7,0.02,0.0
23:57:23,9.88,11.6,0.02,0.0
23:57:24,10.4,9.6,0.02,0.0
23:57:24,10.93,11.5,0.02,0.0
23:57:25,11.45,11.5,0.02,0.0
23:57:26,11.97,9.6,0.02,0.0
23:57:26,12.49,9.6,0.02,0.0
23:57:27,13.01,11.5,0.02,0.0
23:57:27,13.53,11.6,0.02,0.0
23:57:28,14.05,9.6,0.02,0.0
23:57:28,14.57,11.6,0.02,0.0
23:57:29,15.08,9.7,0.02,0.0
23:57:29,15.6,13.5,0.02,0.0
23:57:30,16.12,9.6,0.02,0.0
23:57:30,16.64,11.5,0.02,0.0
23:57:31,17.16,11.5,0.02,0.0
23:57:31,17.68,9.7,0.02,0.0
23:57:32,18.2,11.5,0.02,0.0
23:57:32,18.72,9.6,0.02,0.0
23:57:33,19.24,11.5,0.02,0.0
23:57:33,19.76,9.6,0.02,0.0
23:57:34,20.28,11.5,0.02,0.0
23:57:34,20.8,11.5,0.02,0.0
23:57:35,21.32,11.5,0.02,0.0
23:57:35,21.84,9.7,0.02,0.0
23:57:36,22.36,7.7,0.02,0.0
23:57:36,22.87,11.6,0.02,0.0
23:57:37,23.39,9.6,0.02,0.0
23:57:37,23.91,13.5,0.02,0.0
23:57:38,24.43,11.5,0.02,0.0
23:57:39,24.95,13.5,0.02,0.0
23:57:39,25.47,11.5,0.02,0.0
23:57:40,25.99,11.5,0.02,0.0
23:57:40,26.51,5.8,0.02,0.0
23:57:41,27.03,11.6,0.02,0.0
23:57:41,27.54,13.5,0.02,0.0
23:57:42,28.07,11.5,0.02,0.0
23:57:42,28.58,11.6,0.02,0.0
23:57:43,29.1,13.5,0.02,0.0
23:57:43,29.62,9.6,0.02,0.0
23:57:44,30.14,13.5,0.02,0.0
23:57:44,30.66,11.5,0.02,0.0
23:57:45,31.18,11.6,0.02,0.0
23:57:45,31.7,13.4,0.02,0.0
23:57:46,32.22,11.6,0.02,0.0
23:57:46,32.74,13.4,0.02,0.0
23:57:47,33.26,13.5,0.02,0.0
23:57:47,33.78,11.6,0.02,0.0
23:57:48,34.3,11.6,0.02,0.0
23:57:48,34.82,11.6,0.02,0.0
23:57:49,35.33,11.6,0.02,0.0
23:57:49,35.85,13.5,0.02,0.0
23:57:50,36.37,11.6,0.02,0.0
23:57:50,36.89,11.6,0.02,0.0
23:57:51,37.41,13.5,0.02,0.0
23:57:51,37.93,13.5,0.02,0.0
23:57:52,38.45,11.6,0.02,0.0
23:57:53,38.97,15.4,0.02,0.0
23:57:53,39.48,9.7,0.02,0.0
23:57:54,40.0,13.5,0.02,0.0
23:57:54,40.52,13.5,0.02,0.0
23:57:55,41.04,13.5,0.02,0.0
23:57:55,41.56,13.5,0.02,0.0
23:57:56,42.08,13.4,0.02,0.0
23:57:56,42.6,13.5,0.02,0.0
23:57:57,43.12,13.5,0.02,0.0
23:57:57,43.64,11.6,0.02,0.0
23:57:58,44.15,15.4,0.02,0.0
23:57:58,44.67,15.4,0.02,0.0
23:57:59,45.19,15.4,0.02,0.0
23:57:59,45.71,13.5,0.02,0.0
23:58:00,46.23,15.4,0.02,0.0
23:58:00,46.75,15.4,0.02,0.0
23:58:01,47.27,15.4,0.02,0.0
23:58:01,47.79,13.5,0.02,0.0
23:58:02,48.31,13.5,0.02,0.0
23:58:02,48.83,15.4,0.02,0.0
23:58:03,49.34,15.4,0.02,0.0
23:58:03,49.86,13.5,0.02,0.0
23:58:04,50.38,15.4,0.02,0.0
23:58:04,50.9,13.5,0.02,0.0
23:58:05,51.42,15.4,0.02,0.0
23:58:05,51.94,15.4,0.02,0.0
23:58:06,52.46,13.5,0.02,0.0
23:58:07,52.98,17.4,0.02,0.0
23:58:07,53.5,15.4,0.02,0.0
23:58:08,54.02,17.3,0.02,0.0
23:58:08,54.53,15.5,0.02,0.0
23:58:09,55.06,15.3,0.02,0.0
23:58:09,55.57,15.4,0.02,0.0
23:58:10,56.09,17.3,0.02,0.0
23:58:10,56.61,15.4,0.02,0.0
23:58:11,57.13,17.3,0.02,0.0
23:58:11,57.65,13.4,0.02,0.0
23:58:12,58.17,17.4,0.02,0.0
23:58:12,58.69,17.3,0.02,0.0
23:58:13,59.21,17.4,0.02,0.0

Ergebnis:
  Messungen       : 115
  CPU-Auslastung  (inkl. Kind-Prozesse)
    Durchschnitt  : 12.26 %
    Maximum       : 17.40 %
    Minimum       : 0.00 %
  RAM-Verbrauch   (inkl. Kind-Prozesse)
    Durchschnitt  : 0.0 MB
    Maximum       : 0.0 MB
    Minimum       : 0.0 MB

Ladezeit-Messung:
    1. 0.002s
    2. 0.002s
    3. 0.002s

Kompelieren + Link:
    1. 21ms
    2. 20ms
    3. 23ms

