Durchlauf 1:

timestamp,elapsed_s,cpu_percent,ram_mb,ram_percent
timestamp,elapsed_s,cpu_percent,ram_mb,ram_percent
00:03:12,0.01,0.0,62.23,0.392
00:03:12,0.53,17.3,62.29,0.393
00:03:13,1.05,19.3,62.3,0.393
00:03:13,1.56,15.7,62.3,0.393
00:03:14,2.08,19.3,62.3,0.393
00:03:14,2.6,17.3,62.3,0.393
00:03:15,3.12,15.5,62.31,0.393
00:03:15,3.64,13.5,62.32,0.393
00:03:16,4.16,13.5,62.32,0.393
00:03:16,4.67,17.4,62.32,0.393
00:03:17,5.19,17.4,62.33,0.393
00:03:17,5.71,19.3,62.33,0.393
00:03:18,6.23,15.4,62.33,0.393
00:03:18,6.74,15.5,62.33,0.393
00:03:19,7.26,13.5,62.33,0.393
00:03:19,7.78,15.5,62.33,0.393
00:03:20,8.3,13.5,62.33,0.393
00:03:20,8.82,17.3,62.33,0.393
00:03:21,9.33,13.5,62.33,0.393
00:03:21,9.85,17.4,62.33,0.393
00:03:22,10.37,19.3,62.5,0.394
00:03:22,10.89,15.3,62.5,0.394
00:03:23,11.41,15.5,62.5,0.394
00:03:23,11.93,21.1,62.5,0.394
00:03:24,12.45,19.2,62.5,0.394
00:03:24,12.97,13.5,62.5,0.394
00:03:25,13.49,19.3,62.5,0.394
00:03:25,14.0,15.5,62.5,0.394
00:03:26,14.52,19.3,62.51,0.394
00:03:27,15.04,15.4,62.51,0.394
00:03:27,15.56,21.3,62.51,0.394
00:03:28,16.08,19.3,62.51,0.394
00:03:28,16.59,19.3,62.51,0.394
00:03:29,17.11,19.3,62.54,0.394
00:03:29,17.63,17.4,62.54,0.394
00:03:30,18.14,13.5,62.54,0.394
00:03:30,18.66,17.4,62.55,0.394
00:03:31,19.18,19.3,62.55,0.394
00:03:31,19.7,15.5,62.55,0.394
00:03:32,20.22,19.2,62.55,0.394
00:03:32,20.74,19.3,62.55,0.394
00:03:33,21.26,15.4,62.55,0.394
00:03:33,21.78,15.4,62.57,0.394
00:03:34,22.3,17.3,62.57,0.394
00:03:34,22.82,17.4,62.57,0.394
00:03:35,23.34,17.3,62.57,0.394
00:03:35,23.85,11.7,62.57,0.394
00:03:36,24.37,17.4,62.57,0.394
00:03:36,24.89,23.2,62.57,0.394
00:03:37,25.4,13.5,62.57,0.394
00:03:37,25.92,17.4,62.57,0.394
00:03:38,26.44,23.2,62.57,0.394
00:03:38,26.96,21.2,62.57,0.394
00:03:39,27.48,17.4,62.57,0.394
00:03:39,28.0,17.4,62.57,0.394
00:03:40,28.52,17.3,62.57,0.394
00:03:41,29.03,17.4,62.58,0.394
00:03:41,29.56,17.3,62.58,0.394
00:03:42,30.07,19.3,62.58,0.394
00:03:42,30.59,17.4,62.58,0.394
00:03:43,31.11,19.3,62.58,0.394
00:03:43,31.63,17.3,62.58,0.394
00:03:44,32.15,17.4,62.58,0.394
00:03:44,32.67,19.2,62.58,0.394
00:03:45,33.19,17.4,62.58,0.394
00:03:45,33.71,21.2,62.59,0.394
00:03:46,34.23,17.4,62.59,0.395
00:03:46,34.73,19.6,62.59,0.395
00:03:47,35.25,17.4,62.59,0.395
00:03:47,35.77,17.4,62.59,0.395
00:03:48,36.29,19.2,62.59,0.395
00:03:48,36.81,23.2,62.6,0.395
00:03:49,37.33,21.2,62.6,0.395
00:03:49,37.85,17.4,62.6,0.395
00:03:50,38.36,21.2,62.6,0.395
00:03:50,38.88,17.3,62.6,0.395
00:03:51,39.4,19.2,62.6,0.395
00:03:51,39.92,17.3,62.6,0.395
00:03:52,40.44,17.4,62.6,0.395
00:03:52,40.96,19.3,62.61,0.395
